RoadCategory,LinkLength_km,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,AllMotorVehicles
PU,0.2,1028,36015,1024,4638,43280
PU,1.6,474,13459,278,1081,15486
PU,1.1,470,8938,272,1480,11440
PU,0.8,329,12384,324,2293,15839
PU,0.7,437,18615,913,3041,23598
PU,0.9,210,12246,57,1244,13997
PU,1.4,1241,12545,1474,1759,17284
PU,0.8,696,11168,1114,1972,15372
PU,0.6,1450,35296,275,6220,44123
PU,1.9,343,12954,534,2016,16260
PU,1.4,1003,9425,1232,2059,14199
PU,0.2,1218,10674,1202,2203,15716
PU,0.2,771,5762,1100,1604,9473
PU,1.4,528,34071,305,3414,39108
PU,0.5,219,13085,1472,2115,17266
PU,1.1,1037,13936,1045,2343,19037
PU,1.3,970,22653,52,5058,30900
PU,1,1507,59787,401,12579,78729
PU,1.7,1251,46441,553,11989,64510
PU,1.4,1574,108686,592,24420,143319
PU,1.3,382,7724,468,1703,10687
PU,1.8,37,8724,309,1319,10598
PU,0.4,85,22612,221,3487,27234
PU,2.6,158,16293,712,1356,18683
PU,0.7,1282,9313,1967,2074,14787
PU,0.4,3512,39234,2545,7439,54390
PU,0.4,392,5350,783,1441,8224
PU,1.3,613,13033,785,2735,18306
PU,0.4,815,12035,1299,2526,17364
PU,1.7,209,7376,568,1201,9772
PU,1.7,197,10880,205,1575,12998
PU,1,80,13717,571,1954,16563
PU,0.3,329,5730,234,595,7102
PU,2,595,14619,817,2152,18562
PU,1.1,291,20398,977,2426,24712
PU,1.1,800,25517,402,3350,30581
PU,0.9,203,13113,608,1723,15829
PU,1.9,146,16170,209,1477,18157
PU,3.8,156,13000,380,1821,15746
PU,2.9,55,11363,308,1480,13335
PU,1.1,319,19238,368,3278,24258
PU,0.4,1100,9825,72,1883,13209
PU,1.1,719,9447,966,2670,14452
PU,2.8,224,8376,132,1035,10018
PU,1.6,409,14831,919,1915,18342
PU,1.8,304,23417,316,2762,27450
PU,0.3,118,7147,195,1153,8980
PU,0.6,284,12014,181,1363,14044
PU,0.7,104,12020,790,1675,14865
PU,0.5,2168,15073,1736,2309,21805
